id_mt,entidad,gizscore,fallecidos,gipvalue,tramo,nombre,latitud,longitud,pr,municipio,departamento,divipola,fecha,anio,mes,dia,nombre_mes
4G013,ANI,1.771262,11,0.076517,BOGOTÁ - VILLAVICENCIO,IP  –  Chirajara - Fundadores,4.452987,-74.046677,10,CHIPAQUE,CUNDINAMARCA,25178,2024-05-10,2024,5,10,May
4G013,ANI,3.818008,23,0.000135,BOGOTÁ - VILLAVICENCIO,IP  –  Chirajara - Fundadores,4.228251,-73.818342,58,GUAYABETAL,CUNDINAMARCA,25335,2024-12-31,2024,12,31,December
4G013,ANI,2.796662,1,0.005163,BOGOTÁ - VILLAVICENCIO,IP  –  Chirajara - Fundadores,4.203601,-73.807188,60,GUAYABETAL,CUNDINAMARCA,25335,2024-11-10,2024,11,10,November
4G013,ANI,1.725132,1,0.084504,BOGOTÁ - VILLAVICENCIO,IP  –  Chirajara - Fundadores,4.121453,-73.643971,85,VILLAVICENCIO,META,50001,2022-05-02,2022,5,2,May
,INVIAS-OTROS,1.725132,13,0.084504,GRANADA - VILLAVICENCIO,,4.115757,-73.647497,sd,VILLAVICENCIO,META,50001,2023-04-12,2023,4,12,April
4G020,ANI,1.93442,4,0.053062,VILLAVICENCIO - YOPAL,Villavicencio - Yopal,4.201806,-73.592214,8,RESTREPO,META,50606,2022-11-27,2022,11,27,November
3G001,ANI,1.942162,1,0.052117,DUITAMA-SOGAMOSO,Briceño - Tunja - Sogamoso,5.808537,-73.012985,2,TIBASOSA,BOYACÁ,15806,2022-03-29,2022,3,29,March
3G001,ANI,2.144165,15,0.03202,DUITAMA-SOGAMOSO,Briceño - Tunja - Sogamoso,5.806803,-73.027743,0,DUITAMA,BOYACÁ,15238,2024-05-21,2024,5,21,May
3G001,ANI,2.144165,1,0.03202,TUNJA - DUITAMA,Briceño - Tunja - Sogamoso,5.803867,-73.040309,47,DUITAMA,BOYACÁ,15238,2022-05-11,2022,5,11,May
3G001,ANI,2.144165,9,0.03202,TUNJA - DUITAMA,Briceño - Tunja - Sogamoso,5.798637,-73.042764,45,DUITAMA,BOYACÁ,15238,2024-02-09,2024,2,9,February
3G001,ANI,2.403517,11,0.016238,BOGOTÁ - TUNJA,Briceño - Tunja - Sogamoso,5.00172,-73.865477,32,GACHANCIPÁ,CUNDINAMARCA,25295,2022-12-10,2022,12,10,December
