ID_MT,ENTIDAD,GiZScore,Fallecidos,GiPValue,Tramo,Nombre,Latitud,Longitud,PR,Municipio,Departamento,divipola
,INVIAS-OTROS,14.537352,52,0.0,Tumaco-Pedregal,,1.759821,-78.785521,13,TUMACO,NARIÑO,52835
4G016,ANI,11.873827,43,0.0,Cereté - San Pelayo,IP – Antioquia – Bolívar,8.920309,-75.812669,13,CERETÉ,CÓRDOBA,23162
3G008,ANI,9.50625,35,0.0,Barranquilla - Malambo - Palmar de Varela,Ruta Caribe,10.920684,-74.775729,78,SOLEDAD,ATLÁNTICO,8758
3G008,ANI,6.538746,33,0.0,Barranquilla - Malambo - Palmar de Varela,Ruta Caribe,10.852572,-74.77184,71,MALAMBO,ATLÁNTICO,8433
,INVIAS-OTROS,8.914356,33,0.0,Cali - Jamundí - La Primavera,,3.334052,-76.523275,114,CALI,VALLE DEL CAUCA,76001
4G026,ANI,8.026514,30,0.0,Chigorodó-Turbo,Autopistas al Mar 2,8.005361,-76.640697,16,TURBO,ANTIOQUIA,5837
3G006,ANI,8.026514,30,0.0,Planeta Rica - Sincelejo,Córdoba – Sucre,9.29113,-75.389608,sd,SINCELEJO,SUCRE,70001
,DEPTO,5.531061,29,0.0,El Hatillo - Girardota - Copacabana - Bello - Med*,,6.351463,-75.510076,sd,COPACABANA,ANTIOQUIA,5212
4G016,ANI,7.730567,29,0.0,Planeta Rica - Montería,IP – Antioquia – Bolívar,8.694844,-75.818022,41,MONTERÍA,CÓRDOBA,23001
,INVIAS-OTROS,7.138672,27,0.0,Cali - Palmira,,3.517906,-76.366127,13,PALMIRA,VALLE DEL CAUCA,76520
,DEPTO,6.842725,26,0.0,Cienaga - Barranquilla,,11.00709,-74.237504,62,CIÉNAGA,MAGDALENA,47189
,INVIAS-OTROS,5.073733,26,0.0,Santander de Quilichao-Candelaria,,3.405531,-76.35194,35,CANDELARIA,VALLE DEL CAUCA,76130
1G007,ANI,6.546778,25,0.0,Bogotá - Mosquera,Bogotá (Fontibón) – Faca – Los Alpes,4.697829,-74.198878,69,FUNZA,CUNDINAMARCA,25286
,INVIAS-OTROS,6.329459,25,0.0,Tumaco-Pedregal,,1.806879,-78.773299,5,TUMACO,NARIÑO,52835
4G026,ANI,6.546778,25,0.0,Chigorodó-Turbo,Autopistas al Mar 2,8.005361,-76.640697,16,TURBO,ANTIOQUIA,5837
,INVIAS-OTROS,6.250831,24,0.0,Barranca - Aguachica,,7.733236,-73.435159,82,SAN ALBERTO,CESAR,20710
,INVIAS-OTROS,2.022182,24,0.043158,El Zulia-Cúcuta,,7.930199,-72.590409,58,EL ZULIA,NORTE DE SANTANDER,54261
4G026,ANI,6.250831,24,0.0,Chigorodó-Turbo,Autopistas al Mar 2,7.873917,-76.635127,30,APARTADÓ,ANTIOQUIA,5045
4G026,ANI,6.250831,24,0.0,Chigorodó-Turbo,Autopistas al Mar 2,7.724083,-76.667336,48,CAREPA,ANTIOQUIA,5147
4G013,ANI,3.818008,23,0.000135,Bogotá - Villavicencio,IP  –  Chirajara - Fundadores,4.228251,-73.818342,58,GUAYABETAL,CUNDINAMARCA,25335
